Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ALB,2,268.76,,10.0,23.0
ABE,ATL,3499,1113.66,,6.84,4.21
ABE,AVP,1445,80.47,,3.43,2.33
ABE,BDL,1,271.98,,0.0,1.0
ABE,BWI,1961,194.73,,3.5,5.2
ABE,CLT,588,774.09,,4.39,5.37
ABE,DTW,4925,682.36,,1.1,1.73
ABE,HPN,98,152.89,,9.29,4.79
ABE,MDT,3047,123.92,,4.07,1.69
ABE,ORD,6355,1052.51,,9.29,7.87
ABE,PIT,7517,407.16,,2.97,4.56
ABE,RDU,83,605.11,,3.09,14.01
ABE,ROC,1,331.52,,10.0,
ABI,DFW,2,254.28,,36.5,
ABQ,AMA,4349,445.79,,9.0,5.66
ABQ,ATL,14,2042.25,,6.93,6.29
ABQ,AUS,328,996.18,,-1.17,-9.46
ABQ,BNA,54,1807.29,,8.67,-3.33
ABQ,CVG,57,1995.58,,4.89,13.15
ABQ,DAL,7350,933.42,,7.52,5.24
ABQ,DEN,18130,561.66,,4.71,5.69
ABQ,DFW,19384,915.71,,5.05,6.18
ABQ,ELP,10441,358.88,,7.6,5.34
ABQ,HOU,2461,1221.49,,9.63,7.48
ABQ,IAH,4381,1197.35,,2.7,3.68
ABQ,LAS,10626,783.75,,6.9,4.83
ABQ,LAX,12203,1089.52,,6.63,4.11
ABQ,LBB,3682,465.1,,6.54,4.79
ABQ,MAF,2129,534.3,,4.34,3.57
ABQ,MCI,645,1155.51,,3.73,2.72
ABQ,MKC,1,1158.72,,45.0,
ABQ,MSP,181,1578.76,,2.64,-3.53
ABQ,ONT,2,1015.49,,-7.0,-11.5
ABQ,ORD,5379,1799.24,,5.57,3.95
ABQ,PHX,31234,527.86,,5.91,6.03
ABQ,PIT,3156,2391.48,,4.29,4.08
ABQ,SAN,779,1010.67,,7.3,-1.01
ABQ,SAT,124,980.09,,8.88,5.52
ABQ,SFO,4056,1441.97,,13.65,10.25
ABQ,SLC,5395,793.4,,2.61,2.13
ABQ,STL,7164,1503.12,,2.33,2.4
ABQ,TUL,316,978.48,,8.97,-2.7
ABQ,TUS,2312,516.6,,7.77,5.4
ACV,RDD,5,162.54,,35.8,39.0
ACV,SFO,14,402.34,,23.0,31.93
ACY,PIT,3558,497.29,,3.85,4.97
ADQ,ANC,85,405.55,,8.33,7.42
AGS,ATL,10405,230.14,,4.96,6.23
AGS,CAE,1554,101.39,,9.58,6.77
AGS,CLT,4302,225.31,,3.12,2.54
AGS,SAV,209,154.5,,9.45,8.19
AKN,ANC,166,465.1,,4.2,9.33
AKN,DLG,164,114.26,,15.22,4.79
ALB,ATL,5071,1371.16,,6.53,6.66
ALB,BDL,6,128.75,,-4.0,1.33
ALB,BGR,265,461.88,,10.27,4.91
ALB,BTV,822,199.56,,3.12,1.76
ALB,BUF,3249,403.94,,4.58,4.35
ALB,BWI,5625,463.49,,5.6,10.09
ALB,CLE,1195,682.36,,2.82,5.76
ALB,CLT,351,1039.63,,3.23,5.76
ALB,CVG,740,1002.62,,3.34,-2.99
ALB,DCA,4408,511.77,,3.79,4.24
ALB,DTW,6373,785.36,,2.38,2.17
ALB,ISP,1964,223.7,,5.37,12.12
ALB,LGA,783,218.87,,6.13,8.93
ALB,MHT,195,194.73,,4.97,6.8
ALB,ORD,13369,1163.55,,7.83,7.15
ALB,PHL,7024,341.18,,5.41,6.76
ALB,PIT,7502,590.63,,6.22,7.33
ALB,PVD,18,226.92,,0.72,5.56
ALB,PWM,1889,300.95,,12.94,7.54
ALB,RDU,4508,875.48,,2.55,-1.53
ALB,ROC,657,318.65,,6.06,8.63
ALB,SWF,82,140.01,,-1.86,0.25
ALB,SYR,378,191.51,,2.4,-0.18
ALO,RST,57,151.28,,4.31,4.83
ALO,STL,59,457.05,,7.25,7.39
AMA,ABQ,4217,445.79,,5.89,1.61
AMA,DAL,11302,521.43,,5.13,3.91
AMA,DEN,533,576.14,,8.65,11.03
AMA,DFW,13564,503.72,,3.22,4.54
AMA,LBB,2007,173.81,,3.62,3.6
AMA,MAF,522,366.93,,6.73,-3.0
AMA,ORD,12,1414.61,,24.92,28.75
AMA,SLC,1,1089.52,,163.0,188.0
ANC,ADQ,82,405.55,,10.06,14.54
ANC,AKN,234,465.1,,4.23,9.01
ANC,BET,2958,642.13,,6.02,9.39
ANC,CDV,1765,257.49,,6.95,10.72
ANC,DEN,142,3872.07,,5.19,6.56
ANC,DLG,162,529.47,,9.45,15.05
ANC,DTW,286,4805.49,,0.58,-6.28
ANC,FAI,15251,420.04,,8.48,10.06
ANC,HNL,2,4469.14,,44.5,63.5
ANC,JNU,4060,918.93,,7.51,8.78
ANC,LAX,248,3773.9,,52.43,45.6
ANC,MSP,1051,4052.32,,2.74,-0.16
ANC,OME,2705,867.43,,4.95,8.18
ANC,ORD,1187,4580.18,,10.11,8.5
ANC,OTZ,2211,883.53,,6.94,8.46
ANC,PDX,2044,2481.6,,8.24,5.61
ANC,SCC,2895,1007.45,,5.82,8.66
ANC,SEA,31677,2331.93,,5.37,5.47
ANC,SFO,604,3247.65,,4.89,8.5
ANC,SIT,1,952.73,,10.0,219.0
ANC,SLC,3742,3419.85,,10.02,6.38
ANI,ANC,43,511.77,,6.7,4.86
APF,TPA,921,215.65,,2.69,2.57
ATL,ABE,2841,1113.66,,7.72,8.17
ATL,ABQ,14,2042.25,,15.5,34.07
ATL,AGS,12113,230.14,,6.25,8.54
ATL,ALB,5033,1371.16,,8.23,7.82
ATL,AUS,5343,1308.39,,6.41,8.15
ATL,AVL,2130,263.93,,5.5,6.53
ATL,AVP,747,1149.07,,4.56,3.43
ATL,BDL,9660,1382.42,,8.82,10.07
ATL,BHM,22968,215.65,,6.03,6.72
ATL,BNA,21619,344.4,,5.6,5.37
ATL,BOS,19295,1522.44,,11.2,11.91
ATL,BTR,5217,722.59,,7.55,8.41
ATL,BUF,7780,1145.85,,8.6,7.81
ATL,BWI,14249,926.98,,8.12,8.36
ATL,CAE,17578,307.38,,7.1,8.32
ATL,CAK,1844,849.73,,7.37,5.06
ATL,CHA,12092,170.59,,5.63,7.09
ATL,CHS,19956,416.82,,6.75,7.15
ATL,CLE,14171,891.57,,6.65,7.47
ATL,CLT,26192,365.32,,6.15,6.97
ATL,CMH,13149,717.77,,7.11,7.53
ATL,CSG,5075,133.58,,5.51,8.14
ATL,CVG,12447,600.28,,7.29,8.57
ATL,DAB,11332,589.02,,7.89,9.12
ATL,DAY,7185,695.23,,5.81,6.78
ATL,DCA,24977,880.31,,8.71,8.05
ATL,DEN,13925,1929.6,,9.75,9.34
ATL,DFW,31275,1178.04,,8.35,10.19
ATL,DTW,23581,955.95,,6.47,6.83
ATL,ELP,15,2063.17,,7.93,6.53
ATL,EWR,23334,1198.96,,10.97,11.66
ATL,FLL,19227,935.03,,9.01,10.84
ATL,FWA,1789,817.54,,5.16,5.57
ATL,GNV,5997,482.8,,6.98,6.8
ATL,GSO,14572,492.46,,6.54,7.39
ATL,GSP,17064,246.23,,6.14,6.38
ATL,GUC,72,2093.75,,10.26,7.74
ATL,HNL,1338,7245.25,,10.75,11.53
ATL,HOU,8377,1120.1,,6.78,7.68
ATL,HSV,9132,243.01,,6.3,6.17
ATL,IAD,14892,857.78,,6.19,7.41
ATL,IAH,17468,1108.84,,6.8,8.62
ATL,IND,11223,695.23,,6.2,6.57
ATL,ISP,338,1279.43,,5.84,7.23
ATL,JAN,8866,548.78,,7.58,8.39
ATL,JAX,24991,434.52,,8.55,9.4
ATL,JFK,4781,1223.1,,11.91,13.3
ATL,LAS,3807,2811.52,,8.31,8.15
ATL,LAX,13743,3131.78,,12.78,11.8
ATL,LEX,7144,487.63,,6.34,7.61
ATL,LGA,24835,1224.71,,12.32,12.61
ATL,LIT,5326,729.03,,6.66,8.46
ATL,MCI,13357,1113.66,,10.33,7.6
ATL,MCO,28054,648.56,,8.91,9.15
ATL,MDT,1290,996.18,,7.51,8.74
ATL,MDW,1248,949.51,,5.6,2.27
ATL,MEM,20200,534.3,,5.97,7.29
ATL,MGM,10476,236.57,,6.97,7.72
ATL,MIA,28008,957.56,,9.08,9.75
ATL,MKE,6676,1076.65,,6.98,5.47
ATL,MLB,9565,712.94,,7.44,7.97
ATL,MLU,1778,720.98,,6.19,8.39
ATL,MOB,12532,486.02,,7.39,8.64
ATL,MSP,12336,1458.06,,7.47,7.09
ATL,MSY,17653,683.97,,8.84,9.1
ATL,OKC,3523,1224.71,,6.37,9.08
ATL,OMA,3357,1321.27,,6.49,6.26
ATL,ONT,1778,3057.75,,13.46,14.41
ATL,ORD,40136,975.26,,9.68,10.49
ATL,ORF,12324,830.42,,5.77,5.58
ATL,PBI,14962,877.09,,8.97,10.0
ATL,PDX,1690,3495.49,,10.84,6.91
ATL,PFN,1870,397.51,,4.88,4.19
ATL,PHL,24721,1070.21,,9.51,10.05
ATL,PHX,7621,2554.02,,9.82,9.48
ATL,PIT,20589,846.51,,6.82,7.18
ATL,PNS,14009,437.74,,6.77,7.3
ATL,PVD,3594,1453.23,,9.58,9.35
ATL,RDU,22546,572.93,,6.05,5.65
ATL,RIC,11330,774.09,,6.2,6.59
ATL,ROA,318,574.53,,4.72,4.4
ATL,ROC,3988,1205.4,,7.51,7.91
ATL,RSW,13890,828.81,,7.77,9.03
ATL,SAN,2106,3043.26,,8.84,9.77
ATL,SAT,6997,1406.56,,7.21,8.91
ATL,SAV,16851,346.01,,6.95,7.24
ATL,SDF,13980,516.6,,7.95,8.62
ATL,SEA,5445,3511.58,,11.77,10.8
ATL,SFO,9524,3442.38,,12.48,10.64
ATL,SHV,2384,888.36,,11.37,8.69
ATL,SJU,8324,2489.65,,10.85,10.77
ATL,SLC,9193,2557.24,,10.8,12.05
ATL,SNA,206,3088.32,,4.26,9.02
ATL,SRQ,12977,716.16,,7.19,8.14
ATL,STL,21712,777.31,,8.4,8.32
ATL,STT,883,2573.33,,10.24,12.16
ATL,SWF,1836,1261.72,,6.7,11.15
ATL,SYR,3547,1276.21,,7.08,6.87
ATL,TLH,10848,358.88,,6.83,7.61
ATL,TOL,3566,883.53,,6.02,8.62
ATL,TPA,25461,653.39,,9.1,8.9
ATL,TRI,2146,365.32,,4.76,3.43
ATL,TUL,5332,1084.7,,7.22,9.0
ATL,TUS,217,2479.99,,19.76,14.29
ATL,TYS,13586,244.62,,5.63,7.04
ATW,CWA,59,107.83,,-9.05,-8.33
ATW,DTW,197,477.97,,5.9,7.94
ATW,GRB,572,40.23,,-0.46,-1.31
ATW,MSP,1350,379.8,,2.45,1.84
AUS,ABQ,326,996.18,,4.61,6.79
AUS,ATL,5348,1308.39,,7.61,9.03
AUS,CLT,200,1662.45,,10.61,7.03
AUS,DAL,18641,304.17,,5.16,1.84
AUS,DEN,3846,1247.24,,4.68,3.66
AUS,DFW,31995,305.77,,4.72,5.87
AUS,ELP,6892,849.73,,5.37,3.86
AUS,HOU,21068,238.18,,4.94,2.25
AUS,HRL,1503,439.35,,2.69,1.19
AUS,IAH,14372,225.31,,2.47,3.26
AUS,LAS,551,1754.18,,7.17,-0.76
AUS,LAX,586,1998.8,,8.32,8.43
AUS,LBB,3443,548.78,,4.06,0.64
AUS,MAF,3589,473.15,,3.84,2.17
AUS,MEM,5023,899.62,,0.59,0.84
AUS,MSY,277,716.16,,0.24,1.57
AUS,ORD,7805,1573.93,,5.99,5.95
AUS,PHL,139,2301.36,,1.73,6.1
AUS,PHX,9899,1403.34,,5.53,3.76
AUS,PIT,304,1947.3,,-0.04,9.59
AUS,SAT,6923,106.22,,2.04,1.4
AUS,SJC,92,2375.39,,1.97,-4.68
AUS,STL,1679,1161.94,,4.35,6.43
AVL,ATL,2132,263.93,,5.99,4.91
AVL,BWI,1152,666.27,,5.57,7.16
AVL,CLT,9399,148.06,,4.69,5.06
AVL,LEX,1,342.79,,-2.0,1.0
AVL,LGA,1,963.99,,5.0,-19.0
AVL,PIT,1,597.07,,10.0,0.0
AVP,ABE,2116,80.47,,3.63,4.27
AVP,ATL,117,1149.07,,11.39,13.32
AVP,BDL,1,262.32,,17.0,
AVP,BWI,1203,252.67,,2.18,4.87
AVP,CLT,242,819.15,,5.51,9.4
AVP,ELM,151,133.58,,2.08,-2.5
AVP,MDT,224,154.5,,7.08,4.26
AVP,PHL,797,168.98,,8.86,6.57
AVP,PIT,6694,391.07,,3.95,6.34
AZO,DAY,4943,283.24,,3.33,3.61
AZO,DTW,5847,181.86,,1.7,3.72
AZO,GRB,839,325.09,,-1.78,-4.53
AZO,LAN,2103,99.78,,-6.18,-5.32
AZO,MSP,2155,685.58,,2.68,4.98
AZO,PIT,991,484.41,,0.81,6.21
AZO,SBN,88,86.9,,0.31,0.0
BDL,ALB,1,128.75,,2.0,20.0
BDL,ATL,10356,1382.42,,5.67,5.28
BDL,BNA,1761,1371.16,,1.92,6.52
BDL,BOS,3340,146.45,,6.87,8.0
BDL,BTV,58,284.85,,12.62,10.47
BDL,BUF,3064,510.16,,5.57,4.66
BDL,BWI,7642,455.44,,6.28,6.8
BDL,CLE,5810,764.44,,2.38,2.87
BDL,CLT,3753,1036.41,,5.24,1.46
BDL,CVG,4860,1063.77,,4.09,4.13
BDL,DAY,167,997.79,,1.94,-18.52
BDL,DCA,9484,503.72,,5.05,5.28
BDL,DEN,258,2689.21,,9.54,15.51
BDL,DFW,4840,2367.34,,4.49,3.1
BDL,DTW,8588,881.92,,3.44,3.51
BDL,EWR,5818,186.68,,5.31,5.43
BDL,FLL,2113,1887.76,,3.74,2.99
BDL,HPN,3,128.75,,-0.67,-2.0
BDL,IAD,7335,524.64,,4.54,4.41
BDL,IAH,111,2425.28,,6.77,-10.22
BDL,ISP,440,131.97,,2.57,5.46
BDL,JFK,1715,170.59,,7.09,9.75
BDL,LAX,68,4066.8,,19.87,8.48
BDL,LGA,150,162.54,,3.95,6.18
BDL,MCO,4326,1689.81,,3.76,1.73
BDL,MDW,187,1250.46,,6.21,30.62
BDL,MIA,537,1921.55,,0.51,-5.54
BDL,MSP,3448,1689.81,,3.13,2.16
BDL,ORD,18548,1260.11,,6.96,6.2
BDL,PBI,2024,1823.38,,4.25,3.5
BDL,PHL,9174,315.43,,8.32,9.7
BDL,PIT,8409,653.39,,8.34,8.52
BDL,PVD,335,106.22,,9.88,12.35
BDL,RDU,5311,856.17,,3.05,2.56
BDL,ROC,342,429.69,,1.09,-2.71
BDL,SJU,1926,2681.16,,4.24,-1.32
BDL,STL,5373,1540.14,,2.62,1.74
BDL,SWF,1,127.14,,-8.0,3.0
BDL,SYR,3488,308.99,,2.81,1.68
BDL,TPA,2324,1787.98,,2.66,1.43
BET,ANC,2901,642.13,,6.56,6.91
BET,ANI,42,151.28,,1.08,8.9
BET,KSM,43,162.54,,11.71,7.05
BFI,DEN,1,1651.18,,28.0,20.0
BFL,BUR,123,151.28,,1.18,-6.98
BFL,DEN,86,1359.89,,12.74,20.27
BFL,DFW,3279,2045.47,,4.95,7.75
BFL,LAS,1826,360.49,,2.44,0.94
BFL,LGB,1,197.95,,6.0,4.0
BFL,ONT,115,202.78,,7.19,12.24
BFL,PSP,1,294.51,,83.0,91.0
BFL,SBA,775,131.97,,3.61,3.19
BFL,SFO,1,383.02,,62.0,78.0
BGM,BWI,2960,341.18,,3.87,2.72
BGM,ELM,695,77.25,,-0.98,3.18
BGM,ITH,212,51.5,,0.36,-2.9
BGM,PIT,5921,403.94,,3.78,4.88
BGR,BOS,7072,323.48,,6.0,6.67
BGR,BTV,365,344.4,,4.1,4.85
BGR,EWR,259,632.47,,11.91,23.36
BGR,MHT,1072,294.51,,3.0,3.72
BGR,ORD,391,1573.93,,10.67,11.04
BGR,PVD,1010,402.34,,2.81,1.65
BGR,PWM,1610,175.42,,5.27,5.24
BGR,SYR,272,613.16,,0.87,5.01
BHM,ATL,21114,215.65,,6.25,7.17
BHM,BNA,13362,284.85,,2.65,2.23
BHM,BTR,615,534.3,,5.1,9.92
BHM,BWI,148,1097.57,,0.37,7.12
BHM,CLT,6565,564.88,,3.33,3.27
BHM,CVG,1770,637.3,,2.83,4.14
BHM,DFW,9633,960.78,,4.35,6.63
BHM,DTW,316,1005.84,,0.13,1.27
BHM,HOU,368,917.32,,2.31,5.68
BHM,HSV,6305,119.09,,3.77,2.57
BHM,JAN,2581,339.57,,8.98,9.8
BHM,LIT,1,521.43,,208.0,199.0
BHM,MCO,1597,769.26,,7.37,7.83
BHM,MEM,7047,339.57,,0.8,0.89
BHM,MGM,1783,144.84,,9.11,9.34
BHM,MOB,6,347.62,,22.33,18.5
BHM,MSY,8915,516.6,,6.27,5.14
BHM,ORD,306,939.85,,6.74,7.21
BHM,PIT,1045,962.39,,2.5,5.87
BHM,PNS,141,344.4,,3.96,1.98
BHM,SDF,2165,519.82,,3.34,2.22
BHM,SHV,375,672.7,,6.39,8.33
BIL,BZN,3254,202.78,,0.98,2.38
BIL,DEN,7853,732.25,,4.33,5.26
BIL,GEG,943,716.16,,4.57,6.39
BIL,GTF,3951,284.85,,5.05,3.78
BIL,MSO,240,444.18,,10.35,11.18
BIL,MSP,5404,1203.79,,0.98,2.07
BIL,SLC,5376,622.81,,2.88,4.15
BIS,CPR,299,622.81,,-1.13,1.97
BIS,DEN,3595,832.03,,3.17,4.54
BIS,FAR,5,300.95,,5.8,2.4
BIS,FSD,1538,474.76,,8.03,2.0
BIS,MOT,4729,168.98,,1.24,-4.34
BIS,MSP,6318,621.21,,2.34,3.65
BIS,SLC,1538,1120.1,,0.07,-0.11
BLI,SAN,1,1837.87,,,
BLI,SEA,5753,151.28,,4.95,5.36
BNA,ATL,20146,344.4,,4.77,5.73
BNA,BDL,1749,1371.16,,3.89,7.72
BNA,BHM,13298,284.85,,6.4,5.07
BNA,BOS,5196,1517.61,,7.44,6.22
BNA,BTR,5130,746.73,,4.32,2.32
BNA,BWI,5783,946.29,,3.81,1.1
BNA,CAK,85,700.06,,4.68,13.17
BNA,CHA,3178,180.25,,4.66,1.92
BNA,CLE,5616,720.98,,4.52,2.16
BNA,CLT,7372,529.47,,3.6,5.69
BNA,CMH,2535,543.96,,5.05,5.75
BNA,CVG,3004,370.15,,5.81,7.96
BNA,DCA,5187,904.45,,4.52,1.6
BNA,DEN,1224,1630.26,,6.0,9.24
BNA,DET,1408,766.05,,10.01,9.07
BNA,DFW,18090,1015.49,,5.88,6.21
BNA,DSM,418,851.34,,5.88,4.85
BNA,DTW,12722,735.47,,3.47,2.42
BNA,EVV,24,225.31,,4.17,5.46
BNA,EWR,5160,1203.79,,7.84,9.11
BNA,FLL,2458,1276.21,,7.53,8.07
BNA,GSO,2533,606.72,,4.26,3.83
BNA,GSP,535,428.08,,3.69,5.51
BNA,HOU,7204,1078.26,,10.57,8.52
BNA,HSV,5128,164.15,,4.87,2.13
BNA,IAD,607,872.26,,4.89,0.28
BNA,IAH,5280,1057.34,,5.74,2.59
BNA,IND,3528,400.73,,5.88,4.4
BNA,JAN,5076,526.25,,4.45,1.8
BNA,JAX,1834,778.92,,5.01,6.83
BNA,JFK,1041,1232.75,,13.93,16.53
BNA,LAS,459,2555.63,,9.37,12.58
BNA,LAX,3847,2891.98,,5.56,3.86
BNA,LEX,920,281.63,,11.53,9.53
BNA,LGA,5177,1229.54,,7.33,5.55
BNA,LIT,5188,526.25,,3.85,2.5
BNA,MCI,3012,790.19,,4.95,3.55
BNA,MCO,5203,991.35,,5.67,5.75
BNA,MDW,10605,635.69,,6.48,2.9
BNA,MEM,13016,321.87,,3.52,2.79
BNA,MIA,3407,1297.13,,7.34,8.85
BNA,MKE,5086,764.44,,4.64,2.4
BNA,MOB,5115,619.6,,4.57,1.71
BNA,MSP,3815,1118.49,,2.4,0.62
BNA,MSY,5120,758.0,,5.19,4.54
BNA,OMA,217,984.92,,1.5,1.29
BNA,ORD,13917,658.22,,6.53,7.21
BNA,ORF,1822,941.46,,2.94,6.56
BNA,PBI,978,1219.88,,9.51,9.62
BNA,PHL,7585,1086.3,,4.47,3.64
BNA,PHX,4237,2330.32,,5.0,1.9
BNA,PIT,6471,743.52,,3.51,4.56
BNA,PNS,1114,629.25,,5.15,-3.33
BNA,RDU,4440,712.94,,3.29,2.24
BNA,RIC,1830,848.12,,4.06,8.73
BNA,RSW,1489,1161.94,,8.04,7.27
BNA,SAN,1599,2817.95,,5.39,1.94
BNA,SAT,2355,1322.88,,4.75,0.92
BNA,SDF,2059,243.01,,3.98,6.39
BNA,SFO,1353,3167.18,,9.76,7.64
BNA,SJU,1091,2821.17,,5.76,-0.68
BNA,SRQ,89,1044.46,,10.54,8.96
BNA,STL,8797,436.13,,4.57,6.42
BNA,TPA,5136,984.92,,5.81,4.97
BNA,TUL,146,828.81,,2.47,-4.61
BNA,TYS,4133,244.62,,8.65,9.27
BOI,DEN,6041,1044.46,,5.43,6.24
BOI,GEG,292,461.88,,-5.92,-6.25
BOI,LAS,1905,836.86,,4.83,7.86
BOI,LAX,652,1084.7,,2.28,3.51
BOI,ORD,3005,2312.62,,6.28,4.99
BOI,PSC,1771,376.59,,8.16,7.62
BOI,RNO,202,539.13,,5.81,-3.14
BOI,SEA,3765,642.13,,2.79,2.99
BOI,SFO,6757,840.08,,9.11,8.17
BOI,SLC,7367,468.32,,2.41,3.09
BOI,SUN,66,154.5,,24.22,30.02
BOS,ATL,18921,1522.44,,9.4,9.32
BOS,BDL,3575,146.45,,5.96,5.81
BOS,BGR,7017,323.48,,8.84,9.82
BOS,BNA,5238,1517.61,,5.02,3.16
BOS,BTV,1452,291.29,,6.56,8.44
BOS,BUF,5324,637.3,,7.9,7.12
BOS,BWI,13102,595.46,,10.71,9.93
BOS,CLE,13315,906.06,,6.78,7.01
BOS,CLT,11410,1171.6,,10.12,8.61
BOS,CMH,2094,1029.98,,8.87,3.85
BOS,CVG,7088,1210.22,,6.51,7.16
BOS,DAY,3575,1141.02,,8.45,8.76
BOS,DCA,42401,642.13,,6.92,5.84
BOS,DEN,8895,2822.78,,11.58,11.28
BOS,DFW,15578,2513.79,,7.23,6.5
BOS,DTW,11836,1017.1,,8.47,8.07
BOS,EWR,41110,321.87,,8.68,10.25
BOS,FLL,4862,1990.75,,10.77,10.18
BOS,GSO,1382,1038.02,,13.06,12.42
BOS,IAD,9887,664.66,,10.42,10.67
BOS,IAH,5985,2570.12,,7.68,5.88
BOS,IND,1075,1314.83,,8.93,3.69
BOS,JFK,10354,300.95,,7.75,9.87
BOS,LAS,1007,3831.84,,17.91,9.83
BOS,LAX,9350,4201.99,,9.18,4.58
BOS,LGA,36184,297.73,,3.97,5.27
BOS,MCI,467,2021.33,,12.53,10.9
BOS,MCO,11453,1804.07,,8.44,7.53
BOS,MDT,1245,539.13,,10.26,12.39
BOS,MDW,1239,1385.64,,5.38,3.52
BOS,MEM,3601,1833.04,,9.76,7.0
BOS,MIA,10394,2024.55,,7.14,4.7
BOS,MKE,2709,1384.03,,6.11,6.6
BOS,MSP,10158,1808.9,,7.88,6.06
BOS,OMA,2,2063.17,,16.0,27.5
BOS,ORD,28762,1395.3,,9.21,8.38
BOS,ORF,2573,753.17,,8.63,10.29
BOS,PBI,3811,1926.38,,10.25,10.7
BOS,PHL,28957,450.62,,10.15,10.89
BOS,PHX,1483,3701.48,,16.27,7.47
BOS,PIT,13338,798.23,,10.09,10.21
BOS,PVD,7,78.86,,29.57,18.33
BOS,PWM,7510,152.89,,9.79,10.6
BOS,RDU,5747,984.92,,5.85,4.51
BOS,RIC,1879,762.83,,9.6,12.03
BOS,ROC,6448,552.0,,8.32,8.13
BOS,RSW,740,2010.07,,4.87,4.27
BOS,SEA,259,4016.91,,12.02,-7.25
BOS,SFO,5312,4351.66,,14.69,9.93
BOS,SJC,630,4327.52,,3.03,-0.47
BOS,SJU,3881,2694.04,,6.24,3.48
BOS,SLC,3549,3387.66,,4.82,4.62
BOS,STL,8271,1683.37,,9.17,7.91
BOS,SYR,7125,424.87,,7.21,7.11
BOS,TPA,6927,1907.07,,6.74,6.29
BQN,MIA,13,1577.15,,-1.92,-10.23
BRW,SCC,273,328.31,,11.08,8.14
BTM,BZN,3557,104.61,,3.5,4.21
BTM,SLC,5,574.53,,0.0,0.6
BTR,ATL,5208,722.59,,8.23,10.63
BTR,BNA,5189,746.73,,2.1,-0.2
BTR,DFW,12682,616.38,,6.9,8.54
BTR,IAH,5081,407.16,,3.42,6.72
BTR,JAN,991,222.09,,2.46,2.02
BTR,LFT,722,88.51,,4.16,-7.23
BTR,MEM,5297,513.38,,0.52,0.2
BTR,MOB,4515,280.03,,7.8,8.28
BTR,MSY,460,104.61,,3.35,6.1
BTR,PNS,1585,379.8,,10.86,13.35
BTR,SHV,780,331.52,,3.61,1.11
BTV,ALB,841,199.56,,1.52,-0.07
BTV,BDL,58,284.85,,1.25,-3.36
BTV,BGR,234,344.4,,15.34,15.51
BTV,BOS,1473,291.29,,4.63,6.55
BTV,BWI,182,656.61,,4.46,3.66
BTV,EWR,6004,428.08,,7.62,9.25
BTV,IAD,2863,711.33,,4.1,0.73
BTV,LGA,5239,415.21,,5.59,6.38
BTV,MHT,843,218.87,,3.71,3.68
BTV,ORD,4392,1227.93,,8.42,5.74
BTV,PHL,4097,540.74,,6.51,8.96
BTV,PIT,5250,730.64,,6.47,8.44
BTV,PWM,60,246.23,,6.91,10.81
BTV,SYR,512,281.63,,0.46,0.49
BUF,ALB,3258,403.94,,3.78,5.0
BUF,ATL,7842,1145.85,,7.31,7.14
BUF,BDL,3120,510.16,,3.3,3.71
BUF,BOS,5153,637.3,,7.51,9.16
BUF,BWI,6165,452.22,,5.76,6.83
BUF,CLE,5639,308.99,,4.06,4.25
BUF,CLT,1638,878.7,,4.45,4.68
BUF,CVG,1247,659.83,,4.61,5.62
BUF,DCA,5079,476.36,,5.5,5.82
BUF,DEN,55,2187.09,,17.37,28.28
BUF,DTW,7914,386.24,,1.02,-0.85
BUF,EWR,20268,453.83,,7.72,9.97
BUF,IAD,3350,457.05,,2.28,2.19
BUF,JFK,1710,484.41,,6.12,8.07
BUF,LGA,14489,469.93,,7.3,9.25
BUF,MCO,60,1627.04,,8.4,-2.45
BUF,MSP,784,1181.26,,0.88,0.78
BUF,ORD,17623,761.22,,6.25,6.11
BUF,PHL,6479,449.01,,7.9,8.68
BUF,PIT,7467,299.34,,6.2,6.95
BUF,RDU,5305,783.75,,1.53,-2.74
BUF,ROC,1861,88.51,,3.13,2.8
BUF,SWF,1,415.21,,22.0,25.0
BUF,SYR,3511,215.65,,6.04,6.11
BUF,TPA,109,1696.24,,3.19,-5.41
BUR,BFL,111,151.28,,12.36,1.05
BUR,DEN,6232,1367.94,,4.84,3.29
BUR,DFW,4796,1981.1,,2.8,3.4
BUR,LAS,19644,358.88,,3.51,2.65
BUR,LAX,1,28.97,,5.0,5.0
BUR,LGB,1555,46.67,,1.65,3.75
BUR,OAK,22002,523.04,,3.8,0.56
BUR,ONT,1915,70.81,,0.96,-0.89
BUR,PDX,3631,1314.83,,3.09,3.66
BUR,PHX,9573,593.85,,3.76,2.14
BUR,RNO,290,601.89,,3.68,4.43
BUR,SAN,58,196.34,,7.03,9.57
BUR,SBA,107,138.4,,-1.28,3.26
BUR,SEA,2463,1507.95,,4.48,6.37
BUR,SFO,22032,524.64,,8.7,6.9
BUR,SJC,11234,476.36,,2.01,0.63
BUR,SLC,3497,923.76,,1.88,1.01
BUR,SMF,7831,576.14,,3.12,0.72
BUR,SNA,141,74.03,,3.86,5.2
BUR,STL,1595,2549.19,,5.41,3.98
BWI,ABE,1922,194.73,,6.31,3.89
BWI,ALB,5534,463.49,,7.41,8.32
BWI,ATL,15556,926.98,,7.39,7.3
BWI,AVL,1140,666.27,,9.08,9.13
BWI,AVP,1181,252.67,,4.91,1.83
BWI,BDL,7833,455.44,,8.79,6.48
